"train/global_step","usual-sea-120 - _step","usual-sea-120 - _step__MIN","usual-sea-120 - _step__MAX","usual-sea-120 - perplexity_dataset_0","usual-sea-120 - perplexity_dataset_0__MIN","usual-sea-120 - perplexity_dataset_0__MAX"
"0","2","2","2","77266.546875","77266.546875","77266.546875"
"157","8","8","8","17.63690757751465","17.63690757751465","17.63690757751465"
"314","14","14","14","11.299103736877441","11.299103736877441","11.299103736877441"
"471","20","20","20","9.287264823913574","9.287264823913574","9.287264823913574"
"628","26","26","26","8.251629829406738","8.251629829406738","8.251629829406738"
"785","32","32","32","7.605452060699463","7.605452060699463","7.605452060699463"
"942","38","38","38","7.163161754608154","7.163161754608154","7.163161754608154"
"1099","44","44","44","6.842493534088135","6.842493534088135","6.842493534088135"
"1256","51","51","51","6.589118003845215","6.589118003845215","6.589118003845215"
"1413","57","57","57","6.385441303253174","6.385441303253174","6.385441303253174"
"1570","63","63","63","6.235785961151123","6.235785961151123","6.235785961151123"
"1727","69","69","69","6.088287830352783","6.088287830352783","6.088287830352783"
"1884","75","75","75","5.9734978675842285","5.9734978675842285","5.9734978675842285"
"2041","81","81","81","5.8663554191589355","5.8663554191589355","5.8663554191589355"
"2198","87","87","87","5.78548526763916","5.78548526763916","5.78548526763916"
"2355","94","94","94","5.717363357543945","5.717363357543945","5.717363357543945"
"2512","100","100","100","5.649715900421143","5.649715900421143","5.649715900421143"
"2669","106","106","106","5.577323913574219","5.577323913574219","5.577323913574219"
"2826","112","112","112","5.523199558258057","5.523199558258057","5.523199558258057"
"2983","118","118","118","5.473760604858398","5.473760604858398","5.473760604858398"
"3140","124","124","124","5.434017181396484","5.434017181396484","5.434017181396484"
"3297","130","130","130","5.3867669105529785","5.3867669105529785","5.3867669105529785"
"3454","137","137","137","5.348351955413818","5.348351955413818","5.348351955413818"
"3611","143","143","143","5.314504146575928","5.314504146575928","5.314504146575928"
"3768","149","149","149","5.276475429534912","5.276475429534912","5.276475429534912"
"3925","155","155","155","5.25557279586792","5.25557279586792","5.25557279586792"
"4082","161","161","161","5.223086833953857","5.223086833953857","5.223086833953857"
"4239","167","167","167","5.199524402618408","5.199524402618408","5.199524402618408"
"4396","173","173","173","5.165200710296631","5.165200710296631","5.165200710296631"
"4553","180","180","180","5.1448469161987305","5.1448469161987305","5.1448469161987305"
"4710","186","186","186","5.125790596008301","5.125790596008301","5.125790596008301"
"4867","192","192","192","5.1063313484191895","5.1063313484191895","5.1063313484191895"
"5024","198","198","198","5.090537071228027","5.090537071228027","5.090537071228027"
"5181","204","204","204","5.070876121520996","5.070876121520996","5.070876121520996"
"5338","210","210","210","5.051348686218262","5.051348686218262","5.051348686218262"
"5495","216","216","216","5.038009166717529","5.038009166717529","5.038009166717529"
"5652","223","223","223","5.0242133140563965","5.0242133140563965","5.0242133140563965"
"5809","229","229","229","5.006831169128418","5.006831169128418","5.006831169128418"
"5966","235","235","235","4.992372512817383","4.992372512817383","4.992372512817383"
"6123","241","241","241","4.978780746459961","4.978780746459961","4.978780746459961"
"6280","247","247","247","4.968723773956299","4.968723773956299","4.968723773956299"
"6437","253","253","253","4.957592487335205","4.957592487335205","4.957592487335205"
"6594","259","259","259","4.947454929351807","4.947454929351807","4.947454929351807"
"6751","266","266","266","4.938799858093262","4.938799858093262","4.938799858093262"
"6908","272","272","272","4.926316261291504","4.926316261291504","4.926316261291504"
"7065","278","278","278","4.919004917144775","4.919004917144775","4.919004917144775"
"7222","284","284","284","4.91289758682251","4.91289758682251","4.91289758682251"
"7379","290","290","290","4.905367851257324","4.905367851257324","4.905367851257324"
"7536","296","296","296","4.8999342918396","4.8999342918396","4.8999342918396"
"7693","302","302","302","4.894348621368408","4.894348621368408","4.894348621368408"
