"train/global_step","stoic-surf-104 - _step","stoic-surf-104 - _step__MIN","stoic-surf-104 - _step__MAX","stoic-surf-104 - perplexity_dataset_0","stoic-surf-104 - perplexity_dataset_0__MIN","stoic-surf-104 - perplexity_dataset_0__MAX"
"0","22.5","2","43","24.280080795288086","24.280080795288086","24.280080795288086"
"196","10","10","10","6.171339511871338","6.171339511871338","6.171339511871338"
"392","19","19","19","5.343277454376221","5.343277454376221","5.343277454376221"
"588","28","28","28","5.014304161071777","5.014304161071777","5.014304161071777"
"784","37","37","37","4.843552112579346","4.843552112579346","4.843552112579346"
"980","52","52","52","4.673504829406738","4.673504829406738","4.673504829406738"
"1176","61","61","61","4.546359539031982","4.546359539031982","4.546359539031982"
"1372","70","70","70","4.4502949714660645","4.4502949714660645","4.4502949714660645"
"1568","79","79","79","4.415777683258057","4.415777683258057","4.415777683258057"
"1764","88","88","88","4.328909873962402","4.328909873962402","4.328909873962402"
"1960","97","97","97","4.282656669616699","4.282656669616699","4.282656669616699"
"2156","106","106","106","4.246366024017334","4.246366024017334","4.246366024017334"
"2352","115","115","115","4.226362705230713","4.226362705230713","4.226362705230713"
"2548","123","123","123","4.189772605895996","4.189772605895996","4.189772605895996"
"2744","132","132","132","4.161938190460205","4.161938190460205","4.161938190460205"
"2940","141","141","141","4.12084436416626","4.12084436416626","4.12084436416626"
"3136","150","150","150","4.1271257400512695","4.1271257400512695","4.1271257400512695"
"3332","159","159","159","4.111630916595459","4.111630916595459","4.111630916595459"
"3528","168","168","168","4.092015743255615","4.092015743255615","4.092015743255615"
"3724","177","177","177","4.047884941101074","4.047884941101074","4.047884941101074"
"3920","186","186","186","4.072939872741699","4.072939872741699","4.072939872741699"
"4116","195","195","195","4.056625843048096","4.056625843048096","4.056625843048096"
"4312","204","204","204","4.031097888946533","4.031097888946533","4.031097888946533"
"4508","213","213","213","4.018002033233643","4.018002033233643","4.018002033233643"
"4704","222","222","222","4.0578083992004395","4.0578083992004395","4.0578083992004395"
"4900","231","231","231","4.04660701751709","4.04660701751709","4.04660701751709"
"5096","239","239","239","4.025703430175781","4.025703430175781","4.025703430175781"
"5292","248","248","248","4.010307312011719","4.010307312011719","4.010307312011719"
"5488","257","257","257","4.054618835449219","4.054618835449219","4.054618835449219"
"5684","266","266","266","4.065968990325928","4.065968990325928","4.065968990325928"
"5880","275","275","275","4.04020357131958","4.04020357131958","4.04020357131958"
"6076","284","284","284","4.031351089477539","4.031351089477539","4.031351089477539"
"6272","293","293","293","4.07024621963501","4.07024621963501","4.07024621963501"
"6468","302","302","302","4.078825950622559","4.078825950622559","4.078825950622559"
"6664","311","311","311","4.075116157531738","4.075116157531738","4.075116157531738"
"6860","320","320","320","4.070444583892822","4.070444583892822","4.070444583892822"
