"train/global_step","fluent-terrain-124 - _step","fluent-terrain-124 - _step__MIN","fluent-terrain-124 - _step__MAX","fluent-terrain-124 - perplexity_dataset_0","fluent-terrain-124 - perplexity_dataset_0__MIN","fluent-terrain-124 - perplexity_dataset_0__MAX"
"0","135.5","2","269","25.411306381225586","25.411306381225586","25.411306381225586"
"157","8","8","8","6.748511791229248","6.748511791229248","6.748511791229248"
"314","14","14","14","5.921392440795898","5.921392440795898","5.921392440795898"
"471","20","20","20","5.546544075012207","5.546544075012207","5.546544075012207"
"628","26","26","26","5.343532562255859","5.343532562255859","5.343532562255859"
"785","32","32","32","5.221375465393066","5.221375465393066","5.221375465393066"
"942","38","38","38","5.073995113372803","5.073995113372803","5.073995113372803"
"1099","44","44","44","4.999904155731201","4.999904155731201","4.999904155731201"
"1256","51","51","51","4.9061126708984375","4.9061126708984375","4.9061126708984375"
"1413","57","57","57","4.8320465087890625","4.8320465087890625","4.8320465087890625"
"1570","63","63","63","4.809405326843262","4.809405326843262","4.809405326843262"
"1727","69","69","69","4.74046516418457","4.74046516418457","4.74046516418457"
"1884","75","75","75","4.701160430908203","4.701160430908203","4.701160430908203"
"2041","81","81","81","4.651590347290039","4.651590347290039","4.651590347290039"
"2198","87","87","87","4.620602607727051","4.620602607727051","4.620602607727051"
"2355","94","94","94","4.6020708084106445","4.6020708084106445","4.6020708084106445"
"2512","100","100","100","4.5815606117248535","4.5815606117248535","4.5815606117248535"
"2669","106","106","106","4.549891948699951","4.549891948699951","4.549891948699951"
"2826","112","112","112","4.525765419006348","4.525765419006348","4.525765419006348"
"2983","118","118","118","4.494314670562744","4.494314670562744","4.494314670562744"
"3140","124","124","124","4.488973617553711","4.488973617553711","4.488973617553711"
"3297","130","130","130","4.470728397369385","4.470728397369385","4.470728397369385"
"3454","137","137","137","4.457186698913574","4.457186698913574","4.457186698913574"
"3611","143","143","143","4.428696155548096","4.428696155548096","4.428696155548096"
"3768","149","149","149","4.411472797393799","4.411472797393799","4.411472797393799"
"3925","155","155","155","4.400089263916016","4.400089263916016","4.400089263916016"
"4082","161","161","161","4.395517349243164","4.395517349243164","4.395517349243164"
"4239","167","167","167","4.381778240203857","4.381778240203857","4.381778240203857"
"4396","173","173","173","4.365220546722412","4.365220546722412","4.365220546722412"
"4553","180","180","180","4.345797538757324","4.345797538757324","4.345797538757324"
"4710","186","186","186","4.342038631439209","4.342038631439209","4.342038631439209"
"4867","192","192","192","4.344762325286865","4.344762325286865","4.344762325286865"
"5024","198","198","198","4.330758571624756","4.330758571624756","4.330758571624756"
"5181","204","204","204","4.309776306152344","4.309776306152344","4.309776306152344"
"5338","210","210","210","4.294495105743408","4.294495105743408","4.294495105743408"
"5495","216","216","216","4.301677703857422","4.301677703857422","4.301677703857422"
"5652","223","223","223","4.305116653442383","4.305116653442383","4.305116653442383"
"5809","229","229","229","4.285382270812988","4.285382270812988","4.285382270812988"
"5966","235","235","235","4.276456832885742","4.276456832885742","4.276456832885742"
"6123","241","241","241","4.259472846984863","4.259472846984863","4.259472846984863"
"6280","247","247","247","4.2722859382629395","4.2722859382629395","4.2722859382629395"
"6437","253","253","253","4.268461227416992","4.268461227416992","4.268461227416992"
"6594","259","259","259","4.260342597961426","4.260342597961426","4.260342597961426"
"6751","266","266","266","4.247976779937744","4.247976779937744","4.247976779937744"
"6908","275","275","275","4.240467071533203","4.240467071533203","4.240467071533203"
"7065","281","281","281","4.247032165527344","4.247032165527344","4.247032165527344"
"7222","287","287","287","4.244650840759277","4.244650840759277","4.244650840759277"
"7379","293","293","293","4.235076904296875","4.235076904296875","4.235076904296875"
"7536","299","299","299","4.229136943817139","4.229136943817139","4.229136943817139"
"7693","305","305","305","4.223947525024414","4.223947525024414","4.223947525024414"
